data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Feather Reef",2006,"2005.9232876712328767","Coral Trout",6.416348875433119,2.9871435904766073,10.857846133200562,"LTMP",9,"_"," ",6.717400777546903,"restricted","9.0m"
"fish","reef","Feather Reef",2008,"2007.6219178082191781","Coral Trout",6.9480694725832,4.181079702141918,10.859755966425237,"LTMP",9,"_"," ",7.1345721548702965,"restricted","9.0m"
"fish","reef","Feather Reef",2010,"2009.9123287671232877","Coral Trout",11.274987611445434,5.662406779092286,17.92696107541442,"LTMP",9,"_"," ",11.709564294063728,"restricted","9.0m"
"fish","reef","Feather Reef",2012,"2012.1589041095890411","Coral Trout",22.03121487279485,14.283897273000761,30.661317770998398,"LTMP",9,"_"," ",22.461338373114863,"restricted","9.0m"
"fish","reef","Feather Reef",2014,"2014.2191780821917808","Coral Trout",8.74546909614382,5.556644404048418,12.280707862626352,"LTMP",9,"_"," ",8.92058268729407,"restricted","9.0m"
"fish","reef","Feather Reef",2016,"2015.9534246575342465","Coral Trout",11.263966438736254,6.231852594740107,18.091480805928423,"LTMP",9,"_"," ",11.72034917292827,"restricted","9.0m"
"fish","reef","Feather Reef",2018,"2018.136986301369863","Coral Trout",31.619518327575026,18.617845734741756,49.13866033550911,"LTMP",9,"_"," ",32.87254288969453,"restricted","9.0m"
"fish","reef","Feather Reef",2020,"2020.14520547945205478","Coral Trout",21.51814336889072,13.400805363534593,32.97734513727363,"LTMP",9,"_"," ",22.068763431799187,"restricted","9.0m"
"fish","reef","Feather Reef",2022,"2022.32054794520547947","Coral Trout",36.06609407473564,23.78937172570086,53.05454202397885,"LTMP",9,"_"," ",36.52735308254504,"restricted","9.0m"
"fish","reef","Feather Reef",2023,"2023.18082191780821918","Coral Trout",22.78341737951102,14.441088845541284,32.843554916562674,"LTMP",9,"_"," ",23.22173629559845,"restricted","9.0m"
"fish","reef","Feather Reef",2024,"2023.6904109589041096","Coral Trout",46.102047876364225,30.1735811904472,65.9501641917157,"LTMP",9,"_"," ",46.89025419067185,"restricted","9.0m"
"fish","reef","Feather Reef",2025,"2024.6493150684931507","Coral Trout",39.18840046126546,24.097690822756853,58.01661204484657,"LTMP",9,"_"," ",40.35272711779317,"restricted","9.0m"
